1,-0.6946377,12.680544,0.50395286;
2,5.012288,11.264028,0.95342433;
3,4.903325,10.882658,-0.08172209;
4,-0.61291564,18.496431,3.0237172;
5,-1.1849703,12.108489,7.205164;
6,1.3756552,-2.4925237,-6.510526;
7,-0.61291564,10.56939,5.706926;
8,-0.50395286,13.947236,7.0553403;
9,-8.430995,11.413852,5.134871;
10,0.95342433,1.3756552,1.6480621;
11,-8.19945,19.57244,2.7240696;
12,1.4165162,5.7886477,2.982856;
13,-1.879608,-2.982856,-0.29964766;
14,-6.1291566,6.851035,-8.158588;
15,5.829509,18.0061,8.539958;
16,6.2789803,2.982856,2.9147544;
17,-1.56634,8.308413,-1.4573772;
18,3.5276701,13.593107,9.425281;
19,-2.0294318,-5.706926,-10.18802;
20,2.7649305,10.337844,-9.724928;
21,3.568531,13.6748295,1.5390993;
22,-0.50395286,3.8681788,3.718355;
23,-2.3018389,1.6889231,0.08172209;
24,-3.568531,19.57244,6.510526;
25,-0.8036005,-3.2961242,-4.630918;
26,0.50395286,10.841797,13.525005;
27,5.706926,15.595298,6.1700177;
28,-8.662541,7.273266,4.0180025;
29,-1.334794,1.2258313,2.3699405;
30,-4.5900574,19.57244,4.7126403;
31,3.8681788,3.759216,0.84446156;
32,-1.7978859,1.5390993,8.730643;
33,7.668256,11.264028,-1.3075534;
34,-2.3699405,14.2877445,8.281172;
35,2.7240696,1.4573772,0.88532263;
36,-3.5957718,18.659876,-0.6537767;
37,3.9499009,4.140586,3.990762;
38,0.46309182,-2.4108016,2.4108016;
39,3.7864566,14.137921,-3.1463003;
40,3.336985,19.231932,6.5513873;
41,5.6660647,3.7864566,0.53119355;
42,0.23154591,0.7627395,0.7627395;
43,-4.8216033,19.57244,8.158588;
44,1.8387469,-1.1168685,-2.7921712;
45,-3.2961242,10.079058,13.824653;
46,11.604536,17.079916,1.334794;
47,-3.173541,14.015338,5.706926;
48,0.61291564,1.1168685,2.5606253;
49,-7.8861814,19.57244,1.9885708;
50,3.1463003,5.243834,4.671779;
51,-3.0237172,-4.3312707,-3.336985;
52,-0.08172209,11.917805,-7.8861814;
53,-1.0351465,14.818938,4.6036777;
54,-2.4516625,2.5333846,3.486809;
55,-1.3756552,2.070293,-0.19068487;
56,-2.4925237,19.57244,6.469665;
57,1.4573772,-5.243834,-4.372132;
58,-1.4165162,9.80665,5.7477865;
59,-1.2666923,14.709975,6.2108784;
60,-3.6774938,3.173541,3.7864566;
61,1.8387469,2.7649305,-1.7570249;
62,-1.2666923,19.313654,6.3198414;
63,2.4108016,-7.6546354,-6.1291566;
64,-0.61291564,16.358038,4.944186;
65,0.040861044,17.502148,2.5333846;
66,-7.6546354,7.8180795,4.372132;
67,-1.2666923,0.7218784,0.8036005;
68,-5.012288,19.57244,5.5162406;
69,1.9477097,2.7921712,2.070293;
70,-5.053149,1.6480621,7.6273947;
71,9.384419,13.443283,1.0351465;
72,-5.434519,13.211738,6.4424243;
73,-0.61291564,1.879608,1.4165162;
74,4.7126403,-6.5513873,-6.0201936;
75,-1.7570249,9.302697,-6.428804;
76,-0.9125633,10.501288,-0.27240697;
77,2.6014864,19.381754,4.440233;
78,5.7886477,3.214402,1.1441092;
79,-1.9885708,12.4489975,-2.7240696;
80,1.4165162,16.780268,8.471856;
81,0.42223078,-8.267551,-7.3549876;
82,-3.568531,10.95076,-0.8036005;
83,-4.671779,11.727119,0.38136974;
84,-2.1383946,1.6889231,3.5276701;
85,-1.334794,2.4925237,-0.3405087;
86,-2.9147544,19.57244,7.5865335;
87,3.5276701,-3.9499009,-1.920469;
88,-4.0588636,10.038197,14.2877445;
89,7.5865335,13.33432,3.8681788;
90,-5.175732,14.1787815,5.5162406;
91,1.1849703,2.1111538,2.2201166;
92,-3.718355,19.463476,-0.8036005;
93,3.173541,6.510526,4.2086873;
94,-1.7297841,-5.6252036,-4.3312707;
95,0.84446156,12.980191,11.563675;
96,2.7649305,17.352324,7.7363577;
97,2.3426998,15.894946,3.6774938;
98,4.7943625,3.8273177,0.9942854;
99,-1.8387469,12.830367,-1.56634;
100,5.366417,14.410328,6.742072;
101,2.1111538,0.27240697,2.6423476;
102,4.2086873,11.454713,7.6273947;
103,-5.134871,9.00305,-3.173541;
104,3.0237172,7.164303,0.08172209;
105,2.070293,3.486809,1.7570249;
106,-3.1054392,4.862464,-0.040861044;
107,-4.399372,19.531578,5.053149;
108,4.7535014,-3.2961242,-2.1383946;
109,-0.6946377,-7.6273947,-7.8180795;
110,-2.8330324,6.5513873,-7.9679036;
111,-0.8036005,10.460427,0.23154591;
112,-3.214402,3.0645783,3.255263;
113,-2.8738933,3.5957718,0.10896278;
114,-4.4810944,19.504337,5.9793324;
115,2.7921712,-1.7570249,0.19068487;
116,-4.7535014,4.2086873,11.141444;
117,-1.56634,3.759216,3.255263;
118,-3.214402,2.9556155,0.7627395;
119,-2.6423476,19.57244,8.008764;
120,0.5720546,-1.4982382,-0.38136974;
